Date;10-DIT-509;10-DIT-609;10-PIT-507;10-PIT-607;10-PIT-416;10-FIT-508
1/7/2025 4:35 AM;991,4672241;1581,448975;34,5115509;4880,917969;4903,711914;4088,172119
1/7/2025 4:40 AM;991,3737793;1580,758057;11,69717026;4897,317871;4905,851074;4014,345947
1/7/2025 4:45 AM;991,2805176;1577,714966;11,53102016;4898,742188;4905,60498;3999,241943
1/7/2025 4:50 AM;991,1870117;1578,964966;21,94844055;4896,897949;4907,422852;4054,909912
1/7/2025 4:55 AM;991,0936279;1578,411987;30,60087013;4888,173828;4905,836914;4016,389893
1/7/2025 5:00 AM;991,0001831;1580,699951;10,82444954;4910,125977;4898,018066;3994,037109
1/7/2025 5:05 AM;990,9067993;1580,389038;10,86061954;4889,624023;4895,190918;3975,773926
1/7/2025 5:10 AM;990,8134155;1577,985962;11,04273987;4890,46582;4905,875977;4007,616943
1/7/2025 5:15 AM;990,7199707;1578,061035;31,00901985;4827,647949;4816,926758;4173,565918
1/7/2025 5:20 AM;990,6265869;1578,005005;10,8264904;4892,823242;4901,86377;4093,279053
1/7/2025 5:25 AM;990,5330811;1580,300049;11,1747303;4896,256836;4902,679199;4094,202881
1/7/2025 5:30 AM;990,633606;1580,229004;11,13039017;4875,094238;4890,76709;4055,628906
1/7/2025 5:35 AM;990,3779907;1577,454956;10,61995983;4839,939941;4846,055176;4078,697998
1/7/2025 5:40 AM;990,2089233;1575,109009;11,0788002;4859,22998;4858,743164;4067,916992
1/7/2025 5:45 AM;990,0396729;1568,91394;11,03295994;4775,015137;4800,699219;4027,299072
1/7/2025 5:50 AM;989,8706055;1576,453003;10,35453987;4748,209961;4768,12793;4026,819092
1/7/2025 5:55 AM;990,3944702;1566,251953;10,57124043;4674,370117;4672,741211;4085,687012
1/7/2025 6:00 AM;990,3900146;1564,137939;10,78794956;4809,839844;4819,355957;4015,552979
1/7/2025 6:05 AM;989,6815186;1517,468994;11,00465012;4761,839844;4776,402832;4094,180908
1/7/2025 6:10 AM;990,2064209;1518,869995;20,40395927;4642,295898;4637,979004;4152,355957
1/7/2025 6:15 AM;990,7313843;1526,125977;18,64665031;4898,140137;4905,344238;4447,648926
1/7/2025 6:20 AM;990,9921265;1482,118042;10,43426991;4651,73291;4656,418945;4523,024902
1/7/2025 6:25 AM;990,758606;1328,11499;11,04094982;4910,958984;4917,046875;4115,771973
1/7/2025 6:30 AM;990,5250244;1491,650024;11,04094982;4927,706055;4958,315918;3926,881104
1/7/2025 6:35 AM;990,2915039;1567,917969;10,9349699;4897,194824;4907,380859;3860,694092
1/7/2025 6:40 AM;990,0579224;1568,343994;10,65396976;4899,208008;4907,051758;3967,840088
1/7/2025 6:45 AM;989,8242798;1563,631958;10,92570019;4900,097168;4907,219238;3987,851074
1/7/2025 6:50 AM;989,5908203;1564,477051;11,04094982;4899,532227;4905,946777;3873,702881
1/7/2025 6:55 AM;989,3571777;1567,396973;10,64037037;4898,96582;4903,188965;3904,412109
1/7/2025 7:00 AM;988,97052;1570,777954;28,02985001;4900,791992;4908,28418;3904,412109
1/7/2025 7:05 AM;992,5684204;1565,31897;11,04094982;4897,816895;4908,538086;3904,412109
1/7/2025 7:10 AM;989,2772827;1570,896973;11,04094982;4901,333008;4908,852051;3904,412109
1/7/2025 7:15 AM;989,1730957;1570,188965;10,6694603;4900,585938;4908,370117;3904,412109
1/7/2025 7:20 AM;989,8867188;1570,89502;17,71696091;4899,894043;4905,973145;3904,412109
1/7/2025 7:25 AM;990,0283813;1564,072021;10,73583031;4900,740234;4904,638184;3904,412109
1/7/2025 7:30 AM;990,6685181;1565,311035;10,82003021;4899,024902;4905,59082;3904,412109
1/7/2025 7:35 AM;990,992981;1567,446045;10,83197975;4899,751953;4907,87793;3904,412109
1/7/2025 7:40 AM;991,317688;1564,807007;10,91996002;4900,312988;4905,224121;3904,412109
1/7/2025 7:45 AM;991,6422729;1564,269043;10,88027;4899,055176;4905,624023;3904,412109
1/7/2025 7:50 AM;991,9669189;1569,16394;10,77000046;4905,26123;4909,448242;3904,412109
1/7/2025 7:55 AM;992,2913818;1551,005981;10,51941013;4900,336914;4908,719238;3904,412109
1/7/2025 8:00 AM;992,5020142;1551,457031;10,57384968;4896,958008;4909,64209;3904,412109
1/7/2025 8:05 AM;992,2515259;1548,843994;10,45114994;4898,273926;4906,086914;3904,412109
1/7/2025 8:10 AM;992,0010986;1550,547974;10,58946991;4897,741211;4908,141113;3904,412109
1/7/2025 8:15 AM;991,7506104;1553,697998;10,70265007;4899,28418;4906,24707;3904,412109
1/7/2025 8:20 AM;991,5001831;1552,490967;11,04094982;4893,833008;4906,124023;4013,552979
1/7/2025 8:25 AM;991,0908203;1550,293945;11,04094982;4894,444824;4906,759766;3955,208984
1/7/2025 8:30 AM;990,2006836;1550,416016;10,51854992;4895,058105;4906,591797;3890,73999
1/7/2025 8:35 AM;988,6046753;1545,895996;10,76840019;4895,669922;4904,134766;3867,302979
1/7/2025 8:40 AM;990,1685791;1549,75;11,01826;4896,792969;4906,116211;3906,262939
1/7/2025 8:45 AM;990,4309082;1555,983032;10,93130016;4900,790039;4906,243164;3919,416992
1/7/2025 8:50 AM;991,9193726;1557,95105;10,91993999;4892,551758;4909,091797;3818,508057
1/7/2025 8:55 AM;992,0449829;1064,332031;10,85671043;4060,134033;4065,906006;4752,229004
1/7/2025 9:00 AM;992,1705933;1028,045044;10,7539196;4147,521973;4149,628906;4804,61377
1/7/2025 9:05 AM;992,2960815;1026,640991;11,16425991;4406,668945;4425,473145;4498,477051
1/7/2025 9:10 AM;992,421814;1025,780029;11,57458973;4328,399902;4347,883789;4268,09082
1/7/2025 9:15 AM;992,5473022;1025,671997;10,6861496;4381,422852;4398,375;4324,535156
1/7/2025 9:20 AM;992,8588867;1026,142944;10,69456959;4369,741211;4371,509766;4436,628906
1/7/2025 9:25 AM;993,1774292;1026,613037;11,13551998;4359,745117;4373,243164;4446,375977
1/7/2025 9:30 AM;993,4957275;1027,083984;10,92469978;4370,305176;4381,23291;4425,924805
1/7/2025 9:35 AM;993,8140869;1025,709961;11,11347008;154,1656952;1459,718994;11,25316048
1/7/2025 9:40 AM;994,1325073;1023,601013;10,81105042;50,10076141;1489,154053;8,498539925
1/7/2025 9:45 AM;994,4509277;1022,809021;10,97896004;45,1335907;1388,118042;0
1/7/2025 9:50 AM;994,7692871;1022,460022;11,14686966;41,92615891;1295,156982;0
1/7/2025 9:55 AM;995,0877075;1022,111023;10,86297989;39,39511108;1232,887939;0
1/7/2025 10:00 AM;995,4061279;1022,263;11,33166027;38,71469879;1194,715942;0
