Date;11-PIT-001;12-PIT-001;12-PIT-003;12-PIT-005;13-PIT-001;14-PIT-001;15-PIT-001
1/7/2025 4:05 AM;1386,418945;2319,327881;2345,827881;2282,610107;2748,27002;4996,655762;2283,842041
1/7/2025 4:10 AM;1400,130981;2349,986084;2366,711914;2329,218994;2739,145996;4995,125;2284,695068
1/7/2025 4:15 AM;1438,495972;2400,875977;2395,474121;2334,429932;2778,874023;5010,587891;2294,308105
1/7/2025 4:20 AM;1459,552002;2385,205078;2406,427002;2340,563965;2784,980957;5001,660156;2286,915039
1/7/2025 4:25 AM;1510,791992;2454,166016;2500,01709;2405,168945;2843,709961;5013,645996;2314,196045
1/7/2025 4:30 AM;1514,80603;2483,584961;2505,635986;2442,145996;2885,592041;5014,554199;2307,195068
1/7/2025 4:35 AM;1530,376953;2504,076904;2521,740967;2462,090088;2923,974121;4961,314941;2267,529053
1/7/2025 4:40 AM;1545,947998;2522,448975;2546,441895;2482,349121;2953,860107;4919,634766;2261,427002
1/7/2025 4:45 AM;1558,608032;2546,272949;2547,666016;2486,739014;2967,615967;4849,289063;2259,154053
1/7/2025 4:50 AM;1564,136963;2536,090088;2552,371094;2491,916016;2976,662109;4803,171875;2260,933105
1/7/2025 4:55 AM;1569,666016;2529,381104;2545,965088;2490,073975;2945,964111;4788,702148;2298,805908
1/7/2025 5:00 AM;1580,008057;2540,201904;2558,083008;2510,843018;2913,753906;4706,479004;2350,226074
1/7/2025 5:05 AM;1593,985962;2535,23291;2551,362061;2489,38501;2894,443115;4675,972168;2388,698975
1/7/2025 5:10 AM;1606,994019;2573,958008;2567,312988;2501,904053;2885,066895;4696,339844;2390,355957
1/7/2025 5:15 AM;1602,425049;2550,924072;2534,730957;2484,524902;2876,025879;4677,458984;2378,028076
1/7/2025 5:20 AM;1585,885986;2475,806885;2491,791016;2430,914063;2826,968018;4638,037109;2365,778076
1/7/2025 5:25 AM;1580,402954;2479,955078;2511,191895;2434,331055;2820,235107;4633,143066;2381,836914
1/7/2025 5:30 AM;1540,353027;2476,918945;2496,01709;2436,581055;2818,9021;4631,861816;2386,353027
1/7/2025 5:35 AM;1490,312012;2496,364014;2504,241943;2448,111084;2826,023926;4631,068848;2372,229004
1/7/2025 5:40 AM;1458,392944;2467,437988;2484,814941;2432,605957;2824,177002;4596,366211;2356,601074
1/7/2025 5:45 AM;1417,766968;2456,647949;2474,781006;2417,768066;2816,659912;4577,170898;2353,506104
1/7/2025 5:50 AM;1394,666992;2437,176025;2455,659912;2400,99292;2792,969971;4553,332031;2361,665039
1/7/2025 5:55 AM;1370,532959;2456,538086;2470,86792;2415,638916;2797,73291;4572,706055;2397,548096
1/7/2025 6:00 AM;1341,104004;2415,35791;2433,298096;2368,011963;2765,408936;4560,592773;2410,856934
1/7/2025 6:05 AM;1337,457031;2383,174072;2400,391113;2338,735107;2723,319092;4543,969238;2390,186035
1/7/2025 6:10 AM;1209,08606;2249,677979;2258,854004;2199,87207;2609,327881;4531,615234;2407,500977
